clients,HSP90AB1,HSPA8
ENSG00000198130,True,True
ENSG00000151090,False,True
ENSG00000118702,True,False
ENSG00000238130,True,True
ENSG00000282608,True,True
ENSG00000186575,False,True
ENSG00000105088,True,True
ENSG00000205362,True,False
ENSG00000198947,True,False
ENSG00000145912,True,False
ENSG00000143839,True,True
ENSG00000105641,True,True
ENSG00000147465,False,True
ENSG00000164400,True,False
ENSG00000158014,False,True
ENSG00000105379,False,True
ENSG00000174483,True,True
ENSG00000119401,True,True
ENSG00000163501,True,True
ENSG00000159189,True,False
ENSG00000111424,True,True
ENSG00000169836,True,True
ENSG00000145192,False,True
ENSG00000126218,True,True
