EnsemlID,WT_interaction_score
ENSG00000066926,1.401515337
ENSG00000171564,-0.04594492
ENSG00000070193,-0.946827211
ENSG00000102466,0.520532282
ENSG00000107831,-0.086868389
ENSG00000066468,8.999808423
ENSG00000171557,0.143311368
ENSG00000022267,-0.01218462
ENSG00000077800,6.785395966
ENSG00000077800,4.209705181
ENSG00000106692,2.327526013
ENSG00000154803,0.078773397
ENSG00000094963,12.41649796
ENSG00000170608,-0.484849647
ENSG00000170122,6.598816752
ENSG00000168269,0.295335146
ENSG00000171051,2.193696616
ENSG00000131808,-0.734685586
ENSG00000167996,0.137821804
ENSG00000087086,0.274338691
ENSG00000179163,-0.216496412
ENSG00000174951,1.668003996
ENSG00000171124,-0.511422472
ENSG00000180549,1.9182566
ENSG00000165060,-1.162166742
ENSG00000174804,-0.787761791
ENSG00000131482,-2.550571648
ENSG00000141349,0.516157297
ENSG00000204681,0.608059756
ENSG00000145863,3.961725205
ENSG00000187730,0.732666962
ENSG00000113327,1.113123976
ENSG00000141012,0.068884543
ENSG00000213930,-0.375554888
ENSG00000130005,-0.111635664
ENSG00000261609,15.776212
ENSG00000102145,-0.415217944
ENSG00000262446,1.95162454
ENSG00000145321,-0.186218739
ENSG00000105607,-1.029510952
ENSG00000084734,2.054978348
ENSG00000001084,3.322348951
ENSG00000111846,-1.031288724
ENSG00000125965,-0.464519857
ENSG00000164404,0.042412412
ENSG00000203879,-0.408148525
ENSG00000168621,0.158863397
ENSG00000131095,-1.938361966
ENSG00000131095,0.411876045
ENSG00000127554,-0.007306165
ENSG00000115486,-0.674227463
ENSG00000137563,0.328814197
ENSG00000118702,4.011145173
ENSG00000121853,-1.931223102
ENSG00000152661,4.936551685
ENSG00000187513,-1.868160821
ENSG00000188910,-5.128600899
ENSG00000189433,-1.309694008
ENSG00000121742,-2.099309325
ENSG00000159248,1.076269937
ENSG00000135821,-1.333690453
ENSG00000196743,-0.79151525
ENSG00000087460,-0.135750164
ENSG00000114349,5.88747547
ENSG00000124713,0.109033709
ENSG00000111670,6.319008695
ENSG00000277439,1.238081876
ENSG00000169704,0.466820662
ENSG00000277494,0.091964324
ENSG00000119714,0.505119141
ENSG00000233276,0.77385432
ENSG00000125675,1.053169323
ENSG00000030582,-0.758022311
ENSG00000244067,0.266498441
ENSG00000148834,-1.506564853
ENSG00000277656,-1.933677955
ENSG00000100577,-0.710178727
ENSG00000272047,1.489640031
ENSG00000169919,-0.953170939
ENSG00000170180,-0.054184475
ENSG00000170180,0.713795516
ENSG00000148702,-0.955837597
ENSG00000084754,1.734215571
ENSG00000084110,0.301887207
ENSG00000004961,-0.614376976
ENSG00000213614,-0.177444464
ENSG00000010704,1.431824259
ENSG00000198130,1.945308589
ENSG00000166135,-1.168152833
ENSG00000230708,0.613632653
ENSG00000204632,0.451917936
ENSG00000159267,-0.966990336
ENSG00000256269,-0.759220223
ENSG00000117305,0.527150314
ENSG00000134240,0.761014086
ENSG00000101076,-0.7099322
ENSG00000150540,0.060405406
ENSG00000108511,-1.340298069
ENSG00000158104,-0.754952877
ENSG00000164120,-2.090107968
ENSG00000165704,-0.406422836
ENSG00000107521,1.914117725
ENSG00000276536,1.943433596
ENSG00000113905,-0.691953096
ENSG00000113749,-0.832261637
ENSG00000072506,-0.516155094
ENSG00000086696,-1.760904249
ENSG00000130948,3.439831183
ENSG00000133835,-0.563689652
ENSG00000152137,-0.904709302
ENSG00000135312,-0.387763179
ENSG00000147246,1.298762221
ENSG00000166736,-0.118906472
ENSG00000157219,-1.477058011
ENSG00000188996,8.83637149
ENSG00000114378,1.330897526
ENSG00000198331,4.059558199
ENSG00000090339,2.801937562
ENSG00000101365,3.301480968
ENSG00000010404,-0.933525174
ENSG00000115461,-0.41796099
ENSG00000163501,4.060405419
ENSG00000136634,-0.302815557
ENSG00000096996,1.54605303
ENSG00000150782,-0.465849713
ENSG00000115008,0.009117389
ENSG00000115008,-0.509772866
ENSG00000125538,0.256158199
ENSG00000168685,-0.114076628
ENSG00000145839,7.377654328
ENSG00000106348,0.826822886
ENSG00000178035,0.018759717
ENSG00000123999,1.151151622
ENSG00000254647,1.482591444
ENSG00000248099,0.02555136
ENSG00000105655,-1.193437467
ENSG00000160255,-2.287749643
ENSG00000162267,4.925280891
ENSG00000113263,19.82880211
ENSG00000009765,2.248015872
ENSG00000111262,-0.78939373
ENSG00000180509,0.019054855
ENSG00000175538,1.257418614
ENSG00000177807,-0.597797172
ENSG00000187486,0.84126728
ENSG00000115474,-0.497898213
ENSG00000276615,-1.70562319
ENSG00000138030,0.649201974
ENSG00000054523,2.472598427
ENSG00000164627,-0.48994338
ENSG00000049130,1.599111873
ENSG00000161594,6.212536842
ENSG00000167748,2.098849723
ENSG00000164344,1.941496102
ENSG00000113889,0.111856616
ENSG00000171401,1.068763019
ENSG00000172867,4.080016462
ENSG00000172867,1.635444428
ENSG00000205420,3.962096732
ENSG00000205420,0.284752058
ENSG00000170421,-1.899032242
ENSG00000087299,10.76176064
ENSG00000011376,3.268290111
ENSG00000143815,0.040033949
ENSG00000134333,-1.161382023
ENSG00000111716,-0.245308812
ENSG00000157978,-0.63972411
ENSG00000174697,1.316126744
ENSG00000106003,1.926714904
ENSG00000197753,0.453570708
ENSG00000121454,-0.762459795
ENSG00000174405,1.222291468
ENSG00000105370,2.411293084
ENSG00000107798,-1.138451547
ENSG00000166035,3.637691607
ENSG00000101670,2.968784205
ENSG00000163898,0.962322416
ENSG00000160789,-1.629988036
ENSG00000136944,4.511851769
ENSG00000175445,1.074790776
ENSG00000121207,-0.05771224
ENSG00000238130,1.33846
ENSG00000238130,-0.446210872
ENSG00000090382,0.181915401
ENSG00000151224,-0.437214396
ENSG00000165471,0.252415156
ENSG00000185231,-1.036045652
ENSG00000124089,-0.760261886
ENSG00000078070,2.240036733
ENSG00000131844,7.201095913
ENSG00000124370,-1.035455376
ENSG00000124370,-0.509772866
ENSG00000180398,-1.234274131
ENSG00000090674,-0.677269119
ENSG00000169057,0.174571676
ENSG00000068305,4.509740666
ENSG00000085871,-1.276350374
ENSG00000101871,0.92459338
ENSG00000135517,-1.119889111
ENSG00000100427,1.1317003
ENSG00000076242,6.404324371
ENSG00000151611,-0.097753768
ENSG00000139428,0.611375717
ENSG00000132763,0.615271536
ENSG00000166670,0.173498763
ENSG00000137745,2.202245198
ENSG00000087245,3.042877698
ENSG00000129255,-0.332541148
ENSG00000103152,-0.97071949
ENSG00000178802,8.483653964
ENSG00000168303,-0.01848321
ENSG00000115204,4.244710335
ENSG00000204410,7.576580721
ENSG00000038945,9.97169394
ENSG00000205362,1.300744853
ENSG00000171100,10.48609493
ENSG00000163719,2.309012189
ENSG00000168412,0.798798678
ENSG00000030304,10.09904419
ENSG00000110921,-0.474023296
ENSG00000172936,0.092356684
ENSG00000111046,1.835885358
ENSG00000111245,-0.42763804
ENSG00000160808,0.430779121
ENSG00000101306,11.05884295
ENSG00000172399,-1.479093273
ENSG00000161653,2.297935838
ENSG00000158517,-0.80658117
ENSG00000116701,2.046422822
ENSG00000124479,2.739278057
ENSG00000186010,6.846135338
ENSG00000137806,-0.132902952
ENSG00000213619,-0.359988969
ENSG00000115286,0.891090024
ENSG00000167792,6.09478725
ENSG00000140398,0.569539056
ENSG00000165973,-0.659307375
ENSG00000227315,-2.349315402
ENSG00000115488,-1.037049121
ENSG00000162992,0.524917683
ENSG00000122859,0.964398797
ENSG00000186575,0.260981099
ENSG00000134259,0.19102648
ENSG00000187566,10.65753878
ENSG00000145912,1.22182846
ENSG00000170113,0.255179036
ENSG00000196338,1.386154279
ENSG00000197696,1.108335798
ENSG00000239672,0.139203743
ENSG00000106100,12.82537154
ENSG00000156574,2.805284773
ENSG00000119655,3.029568717
ENSG00000175206,-0.800129804
ENSG00000169297,5.40968546
ENSG00000025434,6.680024804
ENSG00000012504,0.066922744
ENSG00000144852,10.46771653
ENSG00000143257,3.226540256
ENSG00000113580,9.310418457
ENSG00000136931,0.913169809
ENSG00000147383,-1.958827173
ENSG00000122643,-0.496096136
ENSG00000122643,1.905582902
ENSG00000170917,0.376109172
ENSG00000089127,-0.830015117
ENSG00000089127,-0.04894841
ENSG00000105088,4.572986974
ENSG00000173391,-0.07214969
ENSG00000188770,-0.188107621
ENSG00000123240,1.198311181
ENSG00000083720,-1.764244515
ENSG00000007168,2.251057529
ENSG00000171759,6.708024706
ENSG00000166228,-0.998563143
ENSG00000175198,3.07694008
ENSG00000114054,2.027950664
ENSG00000131828,1.530980165
ENSG00000133027,-1.436620651
ENSG00000124299,-1.807664503
ENSG00000162928,2.018780557
ENSG00000112357,7.726653117
ENSG00000152556,1.947506498
ENSG00000164708,-0.65266851
ENSG00000137338,6.708399705
ENSG00000137338,5.337930573
ENSG00000102144,-0.746171658
ENSG00000102174,1.256140841
ENSG00000172943,1.8332187
ENSG00000156873,4.522087845
ENSG00000107537,1.852058913
ENSG00000162896,-0.90886901
ENSG00000171608,7.917138568
ENSG00000145675,1.47111579
ENSG00000150867,-0.222708196
ENSG00000069011,0.5986709
ENSG00000069011,-0.716349346
ENSG00000164093,1.05374571
ENSG00000143627,1.004464631
ENSG00000067225,0.096005977
ENSG00000057294,-1.279697585
ENSG00000057294,7.387804876
ENSG00000122861,-0.338982098
ENSG00000122194,0.20711323
ENSG00000083444,-0.575995165
ENSG00000106397,1.054707512
ENSG00000100979,0.878465068
ENSG00000109099,-0.420388065
ENSG00000127838,0.991679953
ENSG00000141744,0.644570046
ENSG00000198805,-0.920052999
ENSG00000100344,6.55391413
ENSG00000108439,1.248262396
ENSG00000108439,-1.479093273
ENSG00000070501,-0.613248507
ENSG00000256525,0.710823288
ENSG00000005421,-0.615425583
ENSG00000102312,-0.299878067
ENSG00000091010,1.447150595
ENSG00000186951,-0.241590075
ENSG00000132170,0.312852447
ENSG00000131238,-0.718852308
ENSG00000102103,-0.856650441
ENSG00000115592,12.10826986
ENSG00000108946,-0.859070571
ENSG00000130175,0.514577441
ENSG00000180228,0.31197745
ENSG00000175646,-0.131767539
ENSG00000115718,0.303095536
ENSG00000100033,9.357262044
ENSG00000163421,1.25516515
ENSG00000126231,-0.60132841
ENSG00000117360,1.833111062
ENSG00000275885,-2.497981553
ENSG00000112619,-1.613300594
ENSG00000147224,0.756527991
ENSG00000275896,1.927794761
ENSG00000135069,-0.013458921
ENSG00000143801,1.146300944
ENSG00000243067,-0.853938645
ENSG00000146733,-1.551248726
ENSG00000169403,-0.275586484
ENSG00000185920,-0.210062406
ENSG00000152266,1.536379452
ENSG00000160801,2.16741893
ENSG00000150787,-0.071267749
ENSG00000110400,-1.548158459
ENSG00000100504,-1.090611435
ENSG00000131096,1.3449322
ENSG00000112210,-0.919428001
ENSG00000128340,-0.90632388
ENSG00000185379,0.869708154
ENSG00000185379,-0.827582836
ENSG00000165917,7.139919042
ENSG00000106344,0.410126415
ENSG00000138207,0.171186271
ENSG00000139988,3.06133944
ENSG00000135437,1.312085091
ENSG00000068615,-0.731178654
ENSG00000143839,1.672476202
ENSG00000064490,-0.080913549
ENSG00000148604,-0.733164758
ENSG00000116741,-0.723275904
ENSG00000108370,5.900055287
ENSG00000140522,0.078037289
ENSG00000172922,2.365678659
ENSG00000102218,-1.829827621
ENSG00000204086,0.597038961
ENSG00000116745,7.621681259
ENSG00000156313,4.53951834
ENSG00000156313,2.414078853
ENSG00000153574,-0.56071744
ENSG00000177189,0.709760792
ENSG00000048392,-0.5593355
ENSG00000040608,0.671233148
ENSG00000143171,1.161137698
ENSG00000101115,1.644761021
ENSG00000075856,-0.001559657
ENSG00000126524,0.939780827
ENSG00000073060,1.042974914
ENSG00000105711,2.393928561
ENSG00000168447,0.749826625
ENSG00000166828,4.799538271
ENSG00000133028,1.047079066
ENSG00000284194,0.087644894
ENSG00000073578,0.992034118
ENSG00000117118,0.403359077
ENSG00000007908,-0.44468312
ENSG00000170381,1.030145097
ENSG00000196189,-0.266433738
ENSG00000278767,1.626215946
ENSG00000196136,0.460667906
ENSG00000277405,0.530143359
ENSG00000123561,-0.738373073
ENSG00000117601,0.784423727
ENSG00000132386,2.556226609
ENSG00000149131,-0.996778427
ENSG00000107290,7.005482008
ENSG00000185303,-1.129663383
ENSG00000168484,-1.805935342
ENSG00000133661,1.142627346
ENSG00000108823,0.993721612
ENSG00000170624,0.92630518
ENSG00000181523,-0.14956956
ENSG00000183918,-0.309273868
ENSG00000129214,-1.768681999
ENSG00000176974,-0.393315243
ENSG00000126778,1.64171242
ENSG00000170577,-0.437353284
ENSG00000125255,-0.205475616
ENSG00000141469,-0.240426884
ENSG00000179520,2.63217079
ENSG00000135917,-1.84157758
ENSG00000175003,-1.256291416
ENSG00000197891,0.932332937
ENSG00000112499,0.805833375
ENSG00000197901,0.723413522
