Genus,Scientific_name,GenerationLength_d
Hydrochoerus,Hydrochoerus hydrochaeris,2030.35395
Chrysocyon,Chrysocyon brachyurus,2032.3307
Otocolobus,Otocolobus manul,2036.1475
Cuon,Cuon alpinus,2041.808633
Manis,Manis crassicaudata,2051.884
Babyrousa,Babyrousa togeanensis,2056.2175
Cephalophus,Cephalophus weynsi,2066.138333
Macropus,Macropus parryi,2071.2455
Potamochoerus,Potamochoerus larvatus,2077.3875
Tragulus,Tragulus williamsoni,2079.58125
Sus,Sus celebensis,2086.55
Martes,Martes zibellina,2087.381433
Capra,Capra aegagrus,2097.005
Cuniculus,Cuniculus paca,2097.4631
Dasyprocta,Dasyprocta leporina,2098.68845
Vulpes,Vulpes vulpes,2105.3972
Muntiacus,Muntiacus puhoatensis,2108.0685
Crossarchus,Crossarchus alexandri,2110.425
Herpestes,Herpestes smithii,2112.75
Herpestes,Herpestes semitorquatus,2129.166667
Canis,Canis aureus,2136.101433
Arabitragus,Arabitragus jayakari,2137.805
Heterohyrax,Heterohyrax brucei,2139.1548
Gazella,Gazella bennettii,2141.73375
Mazama,Mazama bororo,2145.09375
Mungotictis,Mungotictis decemlineata,2146.94685
Viverra,Viverra civettina,2148.39
Viverra,Viverra tangalunga,2153.5
Prionailurus,Prionailurus rubiginosus,2153.865
Mazama,Mazama gouazoubira,2158.075633
Meles,Meles meles,2161.2481
Melogale,Melogale everetti,2167.314167
Pedetes,Pedetes capensis,2168.0497
Nanger,Nanger dama,2171.91595
Vulpes,Vulpes corsac,2173.37545
Mazama,Mazama nemorivaga,2181.36375
Cephalophus,Cephalophus harveyi,2186.127
Callithrix,Mico leucippe,2190
Leopardus,Leopardus guigna,2190
Leopardus,Leopardus tigrinus,2190
Leopardus,Leopardus wiedii,2190
Pardofelis,Pardofelis badia,2190
Prionailurus,Prionailurus planiceps,2190
Prionailurus,Prionailurus viverrinus,2190
Hydropotes,Hydropotes inermis,2190
Moschus,Moschus moschiferus,2190
Muntiacus,Muntiacus crinifrons,2190
Gazella,Gazella spekei,2190
Mazama,Mazama pandora,2190
Pteronura,Pteronura brasiliensis,2190
Pantholops,Pantholops hodgsonii,2190
Babyrousa,Babyrousa celebensis,2190
Sus,Sus verrucosus,2190
Tragelaphus,Tragelaphus buxtoni,2190
Procyon,Procyon cancrivorus,2191.955117
Moschiola,Moschiola kathygre,2193.86525
Genetta,Genetta thierryi,2198.09
Phacochoerus,Phacochoerus africanus,2206.301667
Genetta,Genetta servalina,2211.9
Muntiacus,Muntiacus rooseveltorum,2216.97025
Vulpes,Vulpes macrotis,2227.96
Muntiacus,Muntiacus putaoensis,2228.39025
Atilax,Atilax paludinosus,2228.517895
Naemorhedus,Naemorhedus baileyi,2249.325
Puma,Puma yagouaroundi,2250.566667
Beatragus,Beatragus hunteri,2253.9745
Marmota,Marmota menzbieri,2257.9474
Redunca,Redunca redunca,2261.72
Procapra,Procapra picticaudata,2268.94875
Cephalophus,Cephalophus silvicultor,2275.945333
Pecari,Pecari maximus,2276.245
Redunca,Redunca arundinum,2293.051667
Mazama,Mazama nana,2293.8365
Moschiola,Moschiola indica,2299.817334
Mazama,Mazama temama,2305.9325
Ratufa,Ratufa bicolor,2327.157917
Mustela,Mustela strigidorsa,2333.81
Dologale,Dologale dybowskii,2343.49
Tragulus,Tragulus versicolor,2348.89275
Prionailurus,Prionailurus bengalensis,2350.842867
Aonyx,Aonyx congicus,2354.85
Spilogale,Spilogale angustifrons,2376.15
Herpestes,Herpestes flavescens,2376.15
Meles,Meles leucurus,2376.15
Vulpes,Vulpes velox,2376.355733
Mustela,Mustela subpalmata,2380.41
Lagidium,Lagidium peruanum,2388.1518
Pardofelis,Pardofelis temminckii,2394.273333
Eptesicus,Eptesicus fuscus,2400.9362
Mustela,Mustela nudipes,2407.905
Cephalophus,Cephalophus nigrifrons,2407.975
Muntiacus,Muntiacus muntjak,2416.4143
Axis,Axis calamianensis,2417.77825
Capricornis,Capricornis swinhoei,2421.9825
Genetta,Genetta piscivora,2423.6
Sus,Sus oliveri,2432.18
Rupicapra,Rupicapra pyrenaica,2437.9015
Cryptomys,Cryptomys anselli,2439.66
Bassaricyon,Bassaricyon pauli,2440.76
Sus,Sus ahoenobarbus,2442.51125
Melogale,Melogale orientalis,2461.865
Galidia,Galidia elegans,2471.524217
Capra,Capra pyrenaica,2471.76
Sus,Sus bucculentus,2472.702
Nasuella,Nasuella olivacea,2486.14
Gazella,Gazella subgutturosa,2496.146667
Genetta,Genetta tigrina,2498.9818
Marmota,Marmota marmota,2506.4968
Bassaricyon,Bassaricyon lasius,2507.5
