Genus,Scientific_name,GenerationLength_d
Graphiurus,Graphiurus crassicaudatus,879.124225
Graphiurus,Graphiurus monardi,879.124225
Graphiurus,Graphiurus angolensis,879.124225
Graphiurus,Graphiurus johnstoni,879.124225
Dryomys,Dryomys laniger,879.124225
Graphiurus,Graphiurus surdus,879.124225
Graphiurus,Graphiurus lorraineus,879.124225
Dryomys,Dryomys niethammeri,879.124225
Dryomys,Dryomys nitedula,879.124225
Graphiurus,Graphiurus nagtglasii,879.124225
Chaetocauda,Chaetocauda sichuanensis,879.124225
Myomimus,Myomimus personatus,879.124225
Myomimus,Myomimus setzeri,879.124225
Myomimus,Myomimus roachi,879.124225
Graphiurus,Graphiurus platyops,879.124225
Graphiurus,Graphiurus ocularis,879.124225
Pseudomys,Pseudomys delicatulus,884.68295
Pseudomys,Pseudomys pilligaensis,884.68295
Pseudomys,Pseudomys chapmani,884.68295
Pseudomys,Pseudomys patrius,884.68295
Pseudomys,Pseudomys johnsoni,884.68295
Pseudomys,Pseudomys calabyi,884.68295
Pseudomys,Pseudomys hermannsburgensis,884.68295
Pseudomys,Pseudomys bolami,884.68295
Pseudomys,Pseudomys novaehollandiae,884.68295
Pseudomys,Pseudomys apodemoides,884.68295
Pseudomys,Pseudomys albocinereus,884.68295
Pseudomys,Pseudomys occidentalis,884.68295
Pseudomys,Pseudomys desertor,884.68295
Pseudomys,Pseudomys fieldi,884.68295
Pseudomys,Pseudomys higginsi,884.68295
Pseudomys,Pseudomys fumeus,884.68295
Pseudomys,Pseudomys nanus,884.68295
Pseudomys,Pseudomys shortridgei,884.68295
Pseudomys,Pseudomys gracilicaudatus,884.68295
Pseudomys,Pseudomys oralis,884.68295
Phascolosorex,Phascolosorex dorsalis,886.2761
Murexia,Murexia longicaudata,886.2761
Phascolosorex,Phascolosorex doriae,886.2761
Myoictis,Myoictis wallacei,886.2761
Myoictis,Myoictis leucura,886.2761
Myoictis,Myoictis wavicus,886.2761
Neophascogale,Neophascogale lorentzii,886.2761
Myoictis,Myoictis melas,886.2761
Myrmecobius,Myrmecobius fasciatus,886.2761
Saccopteryx,Saccopteryx canescens,894.25
Saccopteryx,Saccopteryx gymnura,894.25
Saccopteryx,Saccopteryx leptura,894.25
Saccopteryx,Saccopteryx antioquensis,894.25
Mosia,Mosia nigrescens,894.25
Balantiopteryx,Balantiopteryx io,894.25
Rhynchonycteris,Rhynchonycteris naso,894.25
Peropteryx,Peropteryx trinitatis,894.25
Emballonura,Emballonura beccarii,894.25
Emballonura,Emballonura atrata,894.25
Emballonura,Emballonura furax,894.25
Emballonura,Emballonura dianae,894.25
Emballonura,Emballonura serii,894.25
Emballonura,Emballonura tiavato,894.25
Emballonura,Emballonura alecto,894.25
Balantiopteryx,Balantiopteryx infusca,894.25
Cyttarops,Cyttarops alecto,894.25
Emballonura,Emballonura monticola,894.25
Emballonura,Emballonura raffrayana,894.25
Peropteryx,Peropteryx macrotis,894.25
Emballonura,Emballonura semicaudata,894.25
Balantiopteryx,Balantiopteryx plicata,894.25
Peropteryx,Peropteryx leucoptera,894.25
Cormura,Cormura brevirostris,894.25
Peropteryx,Peropteryx kappleri,894.25
Jaculus,Jaculus orientalis,919.8561
Jaculus,Jaculus blanfordi,919.8561
Hemiechinus,Hemiechinus collaris,940.3939
Gerbillus,Gerbillus henleyi,951.2818
Gerbillus,Gerbillus watersi,951.2818
Gerbillus,Gerbillus pusillus,951.2818
Gerbillus,Gerbillus amoenus,951.2818
Gerbillus,Gerbillus simoni,951.2818
Gerbillus,Gerbillus mesopotamiae,951.2818
Gerbillus,Gerbillus dasyurus,951.2818
Gerbillus,Gerbillus nanus,951.2818
Gerbillus,Gerbillus gleadowi,951.2818
Gerbillus,Gerbillus gerbillus,951.2818
Gerbillus,Gerbillus andersoni,951.2818
Gerbillus,Gerbillus cheesmani,951.2818
Gerbillus,Gerbillus campestris,951.2818
Gerbillus,Gerbillus nigeriae,951.2818
Gerbillus,Gerbillus poecilops,951.2818
Gerbillus,Gerbillus famulus,951.2818
Gerbillus,Gerbillus latastei,951.2818
Gerbillus,Gerbillus acticola,951.2818
Gerbillus,Gerbillus muriculus,951.2818
Gerbillus,Gerbillus nancillus,951.2818
Gerbillus,Gerbillus bottai,951.2818
Gerbillus,Gerbillus brockmani,951.2818
Gerbillus,Gerbillus cosensis,951.2818
Gerbillus,Gerbillus grobbeni,951.2818
Gerbillus,Gerbillus jamesi,951.2818
Gerbillus,Gerbillus juliani,951.2818
Gerbillus,Gerbillus lowei,951.2818
Gerbillus,Gerbillus occiduus,951.2818
Gerbillus,Gerbillus principulus,951.2818
Gerbillus,Gerbillus somalicus,951.2818
Gerbillus,Gerbillus stigmonyx,951.2818
Gerbillus,Gerbillus rupicola,951.2818
Gerbillus,Gerbillus percivali,951.2818
Gerbillus,Gerbillus agag,951.2818
Gerbillus,Gerbillus burtoni,951.2818
Gerbillus,Gerbillus perpallidus,951.2818
Gerbillus,Gerbillus maghrebi,951.2818
Gerbillus,Gerbillus rosalinda,951.2818
Gerbillus,Gerbillus aquilus,951.2818
Gerbillus,Gerbillus dunni,951.2818
Gerbillus,Gerbillus floweri,951.2818
Gerbillus,Gerbillus harwoodi,951.2818
Gerbillus,Gerbillus hesperinus,951.2818
Gerbillus,Gerbillus hoogstraali,951.2818
Gerbillus,Gerbillus mackillingini,951.2818
Gerbillus,Gerbillus pulvinatus,951.2818
Gerbillus,Gerbillus tarabuli,951.2818
Thrichomys,Thrichomys pachyurus,953.4568
Thrichomys,Thrichomys inermis,953.4568
Heliophobius,Heliophobius argenteocinereus,967.375
Bathyergus,Bathyergus janetta,967.375
Bathyergus,Bathyergus suillus,967.375
Caluromys,Caluromys lanatus,969.6242333
Sylvilagus,Sylvilagus bachmani,969.8600667
Sylvilagus,Sylvilagus obscurus,969.8600667
Sylvilagus,Sylvilagus mansuetus,969.8600667
Sylvilagus,Sylvilagus graysoni,969.8600667
Sylvilagus,Sylvilagus brasiliensis,969.8600667
Brachylagus,Brachylagus idahoensis,969.8600667
Romerolagus,Romerolagus diazi,969.8600667
Graphiurus,Graphiurus microtis,981.282475
Graphiurus,Graphiurus rupicola,981.282475
Graphiurus,Graphiurus christyi,981.282475
Chaetodipus,Chaetodipus artus,987.63075
Chaetodipus,Chaetodipus dalquesti,987.63075
Chaetodipus,Chaetodipus eremicus,987.63075
Chaetodipus,Chaetodipus rudinoris,987.63075
Chaetodipus,Chaetodipus intermedius,987.63075
Chaetodipus,Chaetodipus nelsoni,987.63075
Chaetodipus,Chaetodipus penicillatus,987.63075
Chaetodipus,Chaetodipus spinatus,987.63075
Chaetodipus,Chaetodipus pernix,987.63075
Chaetodipus,Chaetodipus arenarius,987.63075
Chaetodipus,Chaetodipus lineatus,987.63075
Chaetodipus,Chaetodipus goldmani,987.63075
Chaetodipus,Chaetodipus californicus,987.63075
Chaetodipus,Chaetodipus baileyi,987.63075
Chaetodipus,Chaetodipus hispidus,987.63075
Perognathus,Perognathus merriami,996.4534
Perognathus,Perognathus flavus,996.4534
Perognathus,Perognathus flavescens,996.4534
Distoechurus,Distoechurus pennatus,997.9661
Massoutiera,Massoutiera mzabi,998.5837333
Felovia,Felovia vae,998.5837333
Rhyncholestes,Rhyncholestes raphanurus,998.6765636
Lestoros,Lestoros inca,998.6765636
Dromiciops,Dromiciops gliroides,998.6765636
Caenolestes,Caenolestes fuliginosus,998.6765636
Caenolestes,Caenolestes convelatus,998.6765636
Caenolestes,Caenolestes caniventer,998.6765636
Notoryctes,Notoryctes caurinus,998.6765636
Caenolestes,Caenolestes condorensis,998.6765636
Notoryctes,Notoryctes typhlops,998.6765636
Talpa,Talpa occidentalis,1000.1
Talpa,Talpa caeca,1000.1
Talpa,Talpa stankovici,1000.1
Talpa,Talpa davidiana,1000.1
Talpa,Talpa altaica,1000.1
Talpa,Talpa caucasica,1000.1
Talpa,Talpa levantis,1000.1
Talpa,Talpa romana,1000.1
Eliomys,Eliomys munbyanus,1013.94125
Eliomys,Eliomys melanurus,1013.94125
Ptenochirus,Ptenochirus minor,1019.5643
Idiurus,Idiurus zenkeri,1032.923574
Eospalax,Eospalax rothschildi,1032.923574
Makalata,Makalata obscura,1032.923574
Abrocoma,Abrocoma shistacea,1032.923574
Calomyscus,Calomyscus tsolovi,1032.923574
Abrocoma,Abrocoma budini,1032.923574
Calomyscus,Calomyscus elburzensis,1032.923574
Spalax,Spalax zemni,1032.923574
Calomyscus,Calomyscus urartensis,1032.923574
Spalax,Spalax arenarius,1032.923574
Spalax,Spalax uralensis,1032.923574
Abrocoma,Abrocoma boliviensis,1032.923574
Platacanthomys,Platacanthomys lasiurus,1032.923574
Abrocoma,Abrocoma uspallata,1032.923574
Cuscomys,Cuscomys ashaninka,1032.923574
Spalax,Spalax ehrenbergi,1032.923574
Spalax,Spalax leucodon,1032.923574
Abrocoma,Abrocoma cinerea,1032.923574
Zenkerella,Zenkerella insignis,1032.923574
Calomyscus,Calomyscus grandis,1032.923574
Spalax,Spalax giganteus,1032.923574
Petromus,Petromus typicus,1032.923574
Myospalax,Myospalax myospalax,1032.923574
Tachyoryctes,Tachyoryctes splendens,1032.923574
Abrocoma,Abrocoma vaccarum,1032.923574
Anomalurus,Anomalurus pusillus,1032.923574
Abrocoma,Abrocoma bennettii,1032.923574
Eospalax,Eospalax fontanierii,1032.923574
Myospalax,Myospalax psilurus,1032.923574
Myospalax,Myospalax aspalax,1032.923574
Isothrix,Isothrix barbarabrownae,1032.923574
Laonastes,Laonastes aenigmamus,1032.923574
Spalax,Spalax microphthalmus,1032.923574
Cannomys,Cannomys badius,1032.923574
Anomalurus,Anomalurus beecrofti,1032.923574
Tachyoryctes,Tachyoryctes macrocephalus,1032.923574
Anomalurus,Anomalurus derbianus,1032.923574
Dipodomys,Dipodomys elator,1033.3533
Dipodomys,Dipodomys ingens,1033.3533
Heteromys,Heteromys teleus,1033.3533
Heteromys,Heteromys oasicus,1033.3533
Heteromys,Heteromys australis,1033.3533
Microgale,Microgale pusilla,1036.557583
Microgale,Microgale parvula,1036.557583
Microgale,Microgale fotsifotsy,1036.557583
Microgale,Microgale longicaudata,1036.557583
Microgale,Microgale brevicaudata,1036.557583
Microgale,Microgale principula,1036.557583
Microgale,Microgale drouhardi,1036.557583
Microgale,Microgale cowani,1036.557583
Microgale,Microgale taiva,1036.557583
Microgale,Microgale monticola,1036.557583
Microgale,Microgale jenkinsae,1036.557583
Microgale,Microgale majori,1036.557583
Microgale,Microgale nasoloi,1036.557583
Microgale,Microgale jobihely,1036.557583
Microgale,Microgale gymnorhyncha,1036.557583
Microgale,Microgale soricoides,1036.557583
Microgale,Microgale thomasi,1036.557583
Microgale,Microgale gracilis,1036.557583
Microgale,Microgale dryas,1036.557583
Oryzorictes,Oryzorictes hova,1036.557583
Oryzorictes,Oryzorictes tetradactylus,1036.557583
Micropotamogale,Micropotamogale lamottei,1036.557583
Limnogale,Limnogale mergulus,1036.557583
Chlorotalpa,Chlorotalpa duthieae,1036.557583
Cryptochloris,Cryptochloris wintoni,1036.557583
Cryptochloris,Cryptochloris zyli,1036.557583
Neamblysomus,Neamblysomus julianae,1036.557583
Eremitalpa,Eremitalpa granti,1036.557583
Chrysochloris,Chrysochloris visagiei,1036.557583
Calcochloris,Calcochloris obtusirostris,1036.557583
Amblysomus,Amblysomus septentrionalis,1036.557583
Calcochloris,Calcochloris tytonis,1036.557583
Amblysomus,Amblysomus marleyi,1036.557583
Chrysochloris,Chrysochloris asiatica,1036.557583
Chlorotalpa,Chlorotalpa sclateri,1036.557583
Amblysomus,Amblysomus corriae,1036.557583
Carpitalpa,Carpitalpa arendsi,1036.557583
Calcochloris,Calcochloris leucorhinus,1036.557583
Chrysochloris,Chrysochloris stuhlmanni,1036.557583
Neamblysomus,Neamblysomus gunningi,1036.557583
Amblysomus,Amblysomus hottentotus,1036.557583
Amblysomus,Amblysomus robustus,1036.557583
Sylvilagus,Sylvilagus dicei,1041.4111
Sylvilagus,Sylvilagus cognatus,1041.4111
Sylvilagus,Sylvilagus varynaensis,1041.4111
Sylvilagus,Sylvilagus robustus,1041.4111
Sylvilagus,Sylvilagus aquaticus,1041.4111
Sylvilagus,Sylvilagus cunicularius,1041.4111
Sylvilagus,Sylvilagus insonus,1041.4111
Echymipera,Echymipera rufescens,1041.8725
Echymipera,Echymipera clara,1041.8725
Echymipera,Echymipera echinista,1041.8725
Ammospermophilus,Ammospermophilus interpres,1044.55125
Ammospermophilus,Ammospermophilus harrisii,1044.55125
Lepus,Lepus yarkandensis,1047.27668
Lepus,Lepus hainanus,1047.27668
Lepus,Lepus tolai,1047.27668
Lepus,Lepus sinensis,1047.27668
Lepus,Lepus microtis,1047.27668
Lepus,Lepus mandshuricus,1047.27668
Lepus,Lepus insularis,1047.27668
Lepus,Lepus comus,1047.27668
Lepus,Lepus habessinicus,1047.27668
Lepus,Lepus capensis,1047.27668
Lepus,Lepus tibetanus,1047.27668
Lepus,Lepus peguensis,1047.27668
Lepus,Lepus nigricollis,1047.27668
Lepus,Lepus granatensis,1047.27668
Lepus,Lepus coreanus,1047.27668
Lepus,Lepus oiostolus,1047.27668
Lepus,Lepus brachyurus,1047.27668
Lepus,Lepus fagani,1047.27668
Lepus,Lepus saxatilis,1047.27668
Lepus,Lepus callotis,1047.27668
Lepus,Lepus starcki,1047.27668
Lepus,Lepus castroviejoi,1047.27668
Lepus,Lepus flavigularis,1047.27668
Lepus,Lepus corsicanus,1047.27668
Lepus,Lepus timidus,1047.27668
Lepus,Lepus alleni,1047.27668
Lepus,Lepus othus,1047.27668
Geogale,Geogale aurita,1052.575981
Spermophilus,Spermophilus spilosoma,1053.682907
Spermophilus,Spermophilus perotensis,1053.682907
Spermophilus,Spermophilus canus,1053.682907
Spermophilus,Spermophilus adocetus,1053.682907
Spermophilus,Spermophilus dauricus,1053.682907
Spermophilus,Spermophilus mollis,1053.682907
Spermophilus,Spermophilus pygmaeus,1053.682907
Spermophilus,Spermophilus mexicanus,1053.682907
Spermophilus,Spermophilus madrensis,1053.682907
Spermophilus,Spermophilus townsendii,1053.682907
Spermophilus,Spermophilus mohavensis,1053.682907
Spermophilus,Spermophilus washingtoni,1053.682907
Spermophilus,Spermophilus saturatus,1053.682907
Spermophilus,Spermophilus alashanicus,1053.682907
Spermophilus,Spermophilus major,1053.682907
Spermophilus,Spermophilus musicus,1053.682907
Spermophilus,Spermophilus pallidicauda,1053.682907
Spermophilus,Spermophilus ralli,1053.682907
Spermophilus,Spermophilus brevicauda,1053.682907
Spermophilus,Spermophilus suslicus,1053.682907
Spermophilus,Spermophilus beldingi,1053.682907
Spermophilus,Spermophilus xanthoprymnus,1053.682907
Spermophilus,Spermophilus brunneus,1053.682907
Spermophilus,Spermophilus taurensis,1053.682907
Spermophilus,Spermophilus elegans,1053.682907
Spermophilus,Spermophilus richardsonii,1053.682907
Spermophilus,Spermophilus erythrogenys,1053.682907
Spermophilus,Spermophilus columbianus,1053.682907
Spermophilus,Spermophilus annulatus,1053.682907
Spermophilus,Spermophilus atricapillus,1053.682907
Spermophilus,Spermophilus relictus,1053.682907
Spermophilus,Spermophilus variegatus,1053.682907
Spermophilus,Spermophilus undulatus,1053.682907
Spermophilus,Spermophilus parryii,1053.682907
Spermophilus,Spermophilus fulvus,1053.682907
Micropotamogale,Micropotamogale ruwenzorii,1058.98334
Potamogale,Potamogale velox,1058.98334
Chrysospalax,Chrysospalax villosus,1058.98334
Chrysospalax,Chrysospalax trevelyani,1058.98334
Dendromus,Dendromus kahuziensis,1064.06475
Dendromus,Dendromus oreas,1064.06475
Petromyscus,Petromyscus barbouri,1064.06475
Steatomys,Steatomys cuppedius,1064.06475
Steatomys,Steatomys bocagei,1064.06475
Dendromus,Dendromus messorius,1064.06475
Delanymys,Delanymys brooksi,1064.06475
Steatomys,Steatomys parvus,1064.06475
Dendromus,Dendromus mystacalis,1064.06475
Dendromus,Dendromus kivu,1064.06475
Dendromus,Dendromus vernayi,1064.06475
Dendromus,Dendromus melanotis,1064.06475
Eliurus,Eliurus majori,1064.06475
Eliurus,Eliurus penicillatus,1064.06475
Eliurus,Eliurus ellermani,1064.06475
Macrotarsomys,Macrotarsomys petteri,1064.06475
Dendroprionomys,Dendroprionomys rousseloti,1064.06475
Nesomys,Nesomys lambertoni,1064.06475
Nesomys,Nesomys rufus,1064.06475
Brachytarsomys,Brachytarsomys albicauda,1064.06475
Nesomys,Nesomys audeberti,1064.06475
Brachytarsomys,Brachytarsomys villosa,1064.06475
Dasycercus,Dasycercus blythi,1070.30375
Tolypeutes,Tolypeutes tricinctus,1095
Marmota,Marmota bobak,1095
Lagorchestes,Lagorchestes hirsutus,1100.21785
Tamias,Tamias alpinus,1101.109973
Tamias,Tamias panamintinus,1101.109973
Tamias,Tamias umbrinus,1101.109973
Tamias,Tamias rufus,1101.109973
Tamias,Tamias quadrivittatus,1101.109973
Tamias,Tamias palmeri,1101.109973
Tamias,Tamias speciosus,1101.109973
Tamias,Tamias cinereicollis,1101.109973
Tamias,Tamias dorsalis,1101.109973
Tamias,Tamias canipes,1101.109973
Tamias,Tamias obscurus,1101.109973
Tamias,Tamias merriami,1101.109973
Tamias,Tamias siskiyou,1101.109973
Tamias,Tamias sonomae,1101.109973
Tamias,Tamias quadrimaculatus,1101.109973
Tamias,Tamias durangae,1101.109973
Tamias,Tamias senex,1101.109973
Tamias,Tamias ochrogenys,1101.109973
Nesolagus,Nesolagus timminsi,1104.3199
Nesolagus,Nesolagus netscheri,1104.3199
Bunolagus,Bunolagus monticularis,1104.3199
Pronolagus,Pronolagus rupestris,1104.3199
Pentalagus,Pentalagus furnessi,1104.3199
Pronolagus,Pronolagus saundersiae,1104.3199
Pronolagus,Pronolagus randensis,1104.3199
Pronolagus,Pronolagus crassicaudatus,1104.3199
Caprolagus,Caprolagus hispidus,1104.3199
Poelagus,Poelagus marjorita,1104.3199
Geomys,Geomys breviceps,1126.8755
Geomys,Geomys attwateri,1126.8755
Geomys,Geomys knoxjonesi,1126.8755
Geomys,Geomys pinetis,1126.8755
Geomys,Geomys texensis,1126.8755
Geomys,Geomys arenarius,1126.8755
Geomys,Geomys tropicalis,1126.8755
Geomys,Geomys personatus,1126.8755
Tamias,Tamias bulleri,1160.355
Hylomys,Hylomys parvus,1202.925238
Neotetracus,Neotetracus sinensis,1202.925238
Hylomys,Hylomys megalotis,1202.925238
Neohylomys,Neohylomys hainanensis,1202.925238
Hylomys,Hylomys suillus,1202.925238
Podogymnura,Podogymnura truei,1202.925238
Paraechinus,Paraechinus micropus,1202.925238
Paraechinus,Paraechinus hypomelas,1202.925238
Mesechinus,Mesechinus hughi,1202.925238
Paraechinus,Paraechinus nudiventris,1202.925238
Podogymnura,Podogymnura aureospinula,1202.925238
Mesechinus,Mesechinus dauuricus,1202.925238
Paraechinus,Paraechinus aethiopicus,1202.925238
Echinosorex,Echinosorex gymnura,1202.925238
Pseudocheirus,Pseudocheirus occidentalis,1217.0925
Pseudochirulus,Pseudochirulus mayeri,1217.0925
Pseudochirulus,Pseudochirulus schlegeli,1217.0925
Pseudochirulus,Pseudochirulus canescens,1217.0925
Pseudochirulus,Pseudochirulus caroli,1217.0925
Pseudochirulus,Pseudochirulus forbesi,1217.0925
Pseudochirulus,Pseudochirulus larvatus,1217.0925
Pseudochirops,Pseudochirops albertisii,1217.0925
Pseudochirulus,Pseudochirulus cinereus,1217.0925
Hemibelideus,Hemibelideus lemuroides,1217.0925
Myosciurus,Myosciurus pumilio,1239.298869
Exilisciurus,Exilisciurus exilis,1239.298869
Exilisciurus,Exilisciurus whiteheadi,1239.298869
Exilisciurus,Exilisciurus concinnus,1239.298869
Petaurillus,Petaurillus kinlochii,1239.298869
Sciurillus,Sciurillus pusillus,1239.298869
Petinomys,Petinomys vordermanni,1239.298869
Petinomys,Petinomys setosus,1239.298869
Tamiops,Tamiops macclellandii,1239.298869
Petinomys,Petinomys sagitta,1239.298869
Nannosciurus,Nannosciurus melanotis,1239.298869
Paraxerus,Paraxerus alexandri,1239.298869
Petaurillus,Petaurillus emiliae,1239.298869
Tamiops,Tamiops rodolphii,1239.298869
Hylopetes,Hylopetes platyurus,1239.298869
Tamiops,Tamiops swinhoei,1239.298869
Hylopetes,Hylopetes lepidus,1239.298869
Tamiops,Tamiops maritimus,1239.298869
Paraxerus,Paraxerus boehmi,1239.298869
Funambulus,Funambulus sublineatus,1239.298869
Sundasciurus,Sundasciurus tenuis,1239.298869
Sundasciurus,Sundasciurus jentinki,1239.298869
Petaurillus,Petaurillus hosei,1239.298869
Sundasciurus,Sundasciurus lowii,1239.298869
Microsciurus,Microsciurus alfari,1239.298869
Hylopetes,Hylopetes sipora,1239.298869
Sundasciurus,Sundasciurus fraterculus,1239.298869
Microsciurus,Microsciurus flaviventer,1239.298869
Microsciurus,Microsciurus santanderensis,1239.298869
Galictis,Galictis vittata,1261.998333
Erinaceus,Erinaceus roumanicus,1268.0745
Erinaceus,Erinaceus amurensis,1268.0745
Cynopterus,Cynopterus minutus,1286.45835
Cynopterus,Cynopterus nusatenggara,1286.45835
Cynopterus,Cynopterus luzoniensis,1286.45835
Cynopterus,Cynopterus horsfieldii,1286.45835
Cynopterus,Cynopterus titthaecheilus,1286.45835
Corynorhinus,Corynorhinus townsendii,1289.8028
Corynorhinus,Corynorhinus mexicanus,1289.8028
Octodon,Octodontomys gliroides,1310.04695
Octodon,Octodon bridgesi,1310.04695
Octodon,Octodon pacificus,1310.04695
Octodon,Octodon lunatus,1310.04695
Tympanoctomys,Tympanoctomys barrerae,1310.04695
Aconaemys,Aconaemys sagei,1310.04695
Spalacopus,Spalacopus cyanus,1310.04695
Aconaemys,Aconaemys porteri,1310.04695
Octomys,Octomys mimax,1310.04695
Aconaemys,Aconaemys fuscus,1310.04695
Pipanacoctomys,Pipanacoctomys aureus,1310.04695
Salinoctomys,Salinoctomys loschalchalerosorum,1310.04695
Atelerix,Atelerix frontalis,1335.15805
Atelerix,Atelerix sclateri,1335.15805
Atelerix,Atelerix algirus,1335.15805
Xerus,Xerus rutilus,1353.407275
Xerus,Xerus princeps,1353.407275
Kerodon,Kerodon acrobata,1375.6675
Paraxerus,Paraxerus poensis,1384.121263
Funambulus,Funambulus pennantii,1384.121263
Paraxerus,Paraxerus ochraceus,1384.121263
Petinomys,Petinomys genibarbis,1384.121263
Funisciurus,Funisciurus isabella,1384.121263
Funisciurus,Funisciurus congicus,1384.121263
Petinomys,Petinomys crinitus,1384.121263
Sundasciurus,Sundasciurus brookei,1384.121263
Hylopetes,Hylopetes spadiceus,1384.121263
Microsciurus,Microsciurus mimulus,1384.121263
Dremomys,Dremomys everetti,1384.121263
Syntheosciurus,Syntheosciurus brochus,1384.121263
Funambulus,Funambulus tristriatus,1384.121263
Funisciurus,Funisciurus bayonii,1384.121263
Funambulus,Funambulus palmarum,1384.121263
Funisciurus,Funisciurus lemniscatus,1384.121263
Pteromys,Pteromys volans,1384.121263
Pteromys,Pteromys momonga,1384.121263
Iomys,Iomys horsfieldii,1384.121263
Paraxerus,Paraxerus flavovittis,1384.121263
Funambulus,Funambulus layardi,1384.121263
Heliosciurus,Heliosciurus punctatus,1384.121263
Lariscus,Lariscus insignis,1384.121263
Iomys,Iomys sipora,1384.121263
Lariscus,Lariscus hosei,1384.121263
Funisciurus,Funisciurus substriatus,1384.121263
Funisciurus,Funisciurus duchaillui,1384.121263
Hylopetes,Hylopetes bartelsi,1384.121263
Hylopetes,Hylopetes winstoni,1384.121263
Menetes,Menetes berdmorei,1384.121263
Sundasciurus,Sundasciurus rabori,1384.121263
Sundasciurus,Sundasciurus davensis,1384.121263
Lariscus,Lariscus niobe,1384.121263
Dremomys,Dremomys pernyi,1384.121263
Dremomys,Dremomys rufigenis,1384.121263
Paraxerus,Paraxerus cepapi,1384.121263
Funisciurus,Funisciurus anerythrus,1384.121263
Sundasciurus,Sundasciurus samarensis,1384.121263
Dremomys,Dremomys lokriah,1384.121263
Hylopetes,Hylopetes phayrei,1384.121263
Petinomys,Petinomys hageni,1384.121263
Rhinosciurus,Rhinosciurus laticaudatus,1384.121263
Sundasciurus,Sundasciurus hoogstraali,1384.121263
Lariscus,Lariscus obscurus,1384.121263
Funisciurus,Funisciurus pyrropus,1384.121263
Sundasciurus,Sundasciurus philippinensis,1384.121263
Dremomys,Dremomys pyrrhomerus,1384.121263
Prosciurillus,Prosciurillus abstrusus,1384.121263
Prosciurillus,Prosciurillus leucomus,1384.121263
Prosciurillus,Prosciurillus murinus,1384.121263
Prosciurillus,Prosciurillus weberi,1384.121263
Aeretes,Aeretes melanopterus,1384.121263
Paraxerus,Paraxerus vincenti,1384.121263
Dremomys,Dremomys gularis,1384.121263
Petinomys,Petinomys mindanensis,1384.121263
Prosciurillus,Prosciurillus rosenbergii,1384.121263
Heliosciurus,Heliosciurus gambianus,1384.121263
Funisciurus,Funisciurus leucogenys,1384.121263
Paraxerus,Paraxerus cooperi,1384.121263
Atlantoxerus,Atlantoxerus getulus,1384.121263
Pteromyscus,Pteromyscus pulverulentus,1384.121263
Sundasciurus,Sundasciurus moellendorffi,1384.121263
Sundasciurus,Sundasciurus steerii,1384.121263
Hylopetes,Hylopetes alboniger,1384.121263
Sundasciurus,Sundasciurus juvencus,1384.121263
Funisciurus,Funisciurus carruthersi,1384.121263
Sundasciurus,Sundasciurus mindanensis,1384.121263
Heliosciurus,Heliosciurus ruwenzorii,1384.121263
Hyosciurus,Hyosciurus heinrichi,1384.121263
Hyosciurus,Hyosciurus ileile,1384.121263
Heliosciurus,Heliosciurus rufobrachium,1384.121263
Heliosciurus,Heliosciurus undulatus,1384.121263
Sundasciurus,Sundasciurus hippurus,1384.121263
Paraxerus,Paraxerus palliatus,1384.121263
Heliosciurus,Heliosciurus mutabilis,1384.121263
Protoxerus,Protoxerus aubinnii,1384.121263
Petinomys,Petinomys lugens,1384.121263
Sciurotamias,Sciurotamias davidianus,1384.121263
Sciurotamias,Sciurotamias forresti,1384.121263
Eoglaucomys,Eoglaucomys fimbriatus,1384.121263
Epixerus,Epixerus ebii,1384.121263
Hylopetes,Hylopetes nigripes,1384.121263
Belomys,Belomys pearsonii,1384.121263
Glyphotes,Glyphotes simus,1384.121263
Spermophilopsis,Spermophilopsis leptodactylus,1384.121263
Protoxerus,Protoxerus stangeri,1384.121263
Paraxerus,Paraxerus vexillarius,1384.121263
Rubrisciurus,Rubrisciurus rubriventer,1384.121263
Paraxerus,Paraxerus lucifer,1384.121263
Petinomys,Petinomys fuscocapillus,1384.121263
Tadarida,Tadarida aegyptiaca,1427.913317
Tadarida,Tadarida condylura,1427.913317
Tadarida,Tadarida aloysiisabaudiae,1427.913317
Tadarida,Tadarida ansorgei,1427.913317
Tadarida,Tadarida bemmeleni,1427.913317
Tadarida,Tadarida bivittata,1427.913317
Tadarida,Tadarida bregullae,1427.913317
Tadarida,Tadarida chapini,1427.913317
Tadarida,Tadarida gallagheri,1427.913317
Tadarida,Tadarida jobensis,1427.913317
Tadarida,Tadarida johorensis,1427.913317
Tadarida,Tadarida major,1427.913317
Tadarida,Tadarida nigeriae,1427.913317
Tadarida,Tadarida plicata,1427.913317
Tadarida,Tadarida russata,1427.913317
Tadarida,Tadarida solomonis,1427.913317
Tadarida,Tadarida tomensis,1427.913317
Tadarida,Tadarida brachyptera,1427.913317
Tadarida,Tadarida congica,1427.913317
Tadarida,Tadarida demonstrator,1427.913317
Tadarida,Tadarida midas,1427.913317
Tadarida,Tadarida mops,1427.913317
Tadarida,Tadarida nanula,1427.913317
Tadarida,Tadarida niangarae,1427.913317
Tadarida,Tadarida niveiventer,1427.913317
Tadarida,Tadarida sarasinorum,1427.913317
Tadarida,Tadarida spurrelli,1427.913317
Tadarida,Tadarida thersites,1427.913317
