"phenotypeID" "num_of_snps" "num_of_pos_snsps" "proportion_of_pos_snps" "mean_beta" "pos_to_neg_effect_weight"
"120" "PGS000694" 22 8 0.363636363636364 -0.000721004844545455 0.278291278515322
"121" "PGS000695" 7 4 0.571428571428571 -7.07935142857143e-05 0.78026160487754
"122" "PGS000696" 12 5 0.416666666666667 1.90322458333334e-05 1.04337466396341
"123" "PGS000697" 2 1 0.5 -0.00036476095 0.262890665060803
"124" "PGS000698" 13 6 0.461538461538462 -3.15874846153846e-05 0.508677985477477
"125" "PGS000699" 20 13 0.65 0.0012169427943 2.68695446076862
"126" "PGS000700" 26 12 0.461538461538462 0.000159909928673077 1.46623270021501
"127" "PGS000701" 14 4 0.285714285714286 -0.000304596304285714 0.201954574772119
"128" "PGS000702" 11 6 0.545454545454545 4.86790363636364e-05 1.14933251661953
"129" "PGS000703" 189 85 0.44973544973545 4.79142549446586e-05 1.0994434753767
"130" "PGS000704" 189 93 0.492063492063492 9.61726426762326e-05 1.10233126863214
"131" "PGS000705" 189 93 0.492063492063492 7.15952359010566e-05 1.17949088869623
"132" "PGS000706" 191 89 0.465968586387435 0.00060154648388394 2.32678497834482
"133" "PGS000707" 189 89 0.470899470899471 2.69006529013543e-05 1.07630619832826
"134" "PGS000708" 189 85 0.44973544973545 0.000465623463231481 1.89072679108845
"135" "PGS000709" 189 81 0.428571428571429 0.000292498811606737 1.66519047217647
"136" "PGS000710" 189 84 0.444444444444444 0.000149538580027668 1.48070813295848
"137" "PGS000711" 189 83 0.439153439153439 0.000157052495048242 1.25859908764579
"138" "PGS000712" 190 92 0.484210526315789 0.000267521033263181 1.34271292652026
"139" "PGS000713" 190 90 0.473684210526316 0.000308075668675398 1.42415643051148
"140" "PGS000716" 1 0 0 -0.0113078 0
"141" "PGS000717" 1 1 1 0.0250634 Inf
"142" "PGS000727" 1791 885 0.494137353433836 -0.00099821328866555 0.878701115423237
"143" "PGS000728" 1666 843 0.506002400960384 0.00194129651860744 1.18404789274211
"144" "PGS000729" 1686 822 0.487544483985765 0.000541103202846975 1.06655237817333
"145" "PGS000742" 1 1 1 0.019 Inf
"146" "PGS000754" 201 127 0.631840796019901 0.000490720512437811 1.35267090723489
"147" "PGS000758" 46 22 0.478260869565217 -8.68386304347825e-05 0.964797482972934
"148" "PGS000759" 1 1 1 0.059636403 Inf
